AsOf,p_5,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,r_5,r_10,r_15,r_20,r_25,r_30,r_35,r_40,r_45,r_50,r_55,r_60,r_65,r_70,r_75,r_80,r_85,r_90,r_95,vol_5,vol_10,vol_15,vol_20,vol_25,vol_30,vol_35,vol_40,vol_45,vol_50,vol_55,vol_60,vol_65,vol_70,vol_75,vol_80,vol_85,vol_90,vol_95
2018-02-27,3.8960839571199997,5.75932599197,7.622568026830001,9.507426324419999,11.6550640527,13.8494605992,16.077355885699998,18.554633656900002,21.3984885365,24.3351747667,27.5562819231,31.0415873545,34.655997968499996,38.8568859147,43.461843204,48.661284931800004,54.559213633999995,61.271474060699994,68.1302677679,265.360748948,218.31059035799998,171.260431769,128.287056475,97.9974591356,77.0088035453,61.4752759086,49.8282668362,41.3899537566,34.0363132258,27.9630226927,22.8466820804,18.1728296922,14.2276951,10.8164229819,7.81955357599,5.24675784686,2.9352328311,0.6555072670350001,1.04330531324,0.947568550232,0.851831787224,0.7665369920790001,0.7081946249259999,0.662537193113,0.624852509137,0.5958534429469999,0.5812752070489999,0.563576410619,0.550650242412,0.538821637806,0.523709456004,0.512027161369,0.49900960877899997,0.485828532235,0.46955461831100004,0.445449601499,0.421081152535
2018-02-28,4.24499851619,6.0431671948500005,7.84133587351,9.6939399653,11.821258988599999,14.1175230276,16.3475383446,18.7887953237,21.6925400607,24.6281116606,27.828436451399998,31.3958843227,35.0216667682,39.1916278111,43.78087900550001,48.849313851800005,55.1222306401,61.896804047799996,69.1829233571,264.290747,218.92332961,173.55591222,130.84691455700002,99.85988919379999,78.7855353927,62.7148281899,50.7554211081,42.0895508938,34.6069490442,28.3267319523,23.1266692726,18.3719368709,14.405617422799999,10.9188006777,7.855334024289999,5.31098546266,3.02088598124,0.859326028442,1.0456955770999998,0.953441500853,0.861187424604,0.775303207148,0.716237747068,0.672123958833,0.631837541697,0.6019634313050001,0.5857541429399999,0.568485489179,0.553756698446,0.542641025698,0.527187604552,0.514351696446,0.5012893157930001,0.487514158861,0.472356754784,0.447546102934,0.42203699985699994
2018-03-01,4.27918977135,6.3670287023,8.45486763325,10.5427065642,12.8798373444,15.3905173687,17.9360021672,20.5034634236,23.2259847502,26.431494578000002,29.7361298996,33.3280049054,37.4485804821,41.661527524499995,46.5812290373,52.122719376199996,58.7238596847,66.1366766117,75.13133764359999,259.838995817,221.25340008900002,182.66780436099998,144.082208633,111.434923494,87.77716132309997,69.9247016983,56.090660310699995,45.5692157897,37.4671746861,30.5271301332,24.607281615300003,19.7315909323,15.3460986211,11.6480862155,8.429196821,5.6481792551300005,3.21844684318,1.23415358949,1.05323450677,0.975986441956,0.8987383771430001,0.8214903123299999,0.758546329726,0.714017019058,0.673004577596,0.637110194588,0.609760295962,0.592461564968,0.574482814104,0.558210219733,0.54726943854,0.531185585131,0.5177905069300001,0.503248002492,0.488839730564,0.466059003083,0.435872396307
2018-03-02,3.61336595795,5.9319896337300015,8.250613309510001,10.5692369853,12.8789454375,15.44830733,17.9830447434,20.568939021600002,23.3668199462,26.5720920483,29.8953523855,33.4676997755,37.6030625366,41.8182149342,46.814981651800004,52.3761000854,59.0738883972,66.348411419,75.2648487509,258.995533844,220.68188305,182.368232255,144.054581461,111.54050222299999,88.10046459860001,70.2771041953,56.376651073699996,45.810325486800004,37.67765401,30.698725199899997,24.7366646175,19.8745635443,15.41847999,11.745119193699999,8.50018096909,5.68616218559,3.27160000682,1.23137015118,1.04959360946,0.973232499735,0.896871390008,0.820510280281,0.7584270519740001,0.715116667844,0.6746386299680001,0.639607498959,0.6129213626300001,0.595910489542,0.5777115636819999,0.561014907399,0.550565013948,0.534499637081,0.52142996802,0.506965703898,0.493562451077,0.469390136972,0.439230918578
2018-03-05,3.02678847747,5.07067960977,7.114570742060001,9.29840632023,11.539915074000001,13.805847704000001,16.069322439300002,18.6037506955,21.3824512204,24.230642441,27.3046647881,30.754243097800003,34.4385452603,38.637220982399995,43.2643603443,48.5156876439,54.6260813558,61.13549154,67.8746813526,245.059425064,204.152399739,163.245374415,125.86069789,96.9373185287,76.76662440140001,61.4742879101,50.243398022,41.3762228817,33.9086494033,27.7065006898,22.56878384,18.056899328900002,14.1783793481,10.808126751400001,7.815156420730001,5.28340930671,2.9677006197400004,0.703133639121,0.957636533024,0.889290351189,0.820944169353,0.756548412347,0.704453320679,0.6623311632769999,0.626272140952,0.601580018899,0.583324167035,0.5652071100280001,0.54913718775,0.537178097819,0.524660280184,0.5136158175100001,0.501184057606,0.48900201734399995,0.47429174374,0.4489949788930001,0.423001337678
2018-03-06,2.99377400957,5.15444537914,7.315116748719999,9.47906510356,11.698602544100002,14.0580591169,16.3458796177,18.8259153915,21.6290719009,24.5297484048,27.6059053177,31.0737766575,34.8210984109,39.0254246753,43.7144149592,48.9171505053,55.48490903840001,62.188380418,69.5366616885,241.657610695,202.80204783599999,163.946484978,127.447824398,98.57887175270001,78.229191958,62.445450057799995,50.83575112649999,41.9331355521,34.4585889505,28.0897523937,22.7722737185,18.2433518988,14.3495916559,10.886581120599999,7.8491424278399995,5.29460501314,3.02477717537,0.9288122063359999,0.9513554037540001,0.886135019249,0.820914634744,0.758126693369,0.706982460449,0.666472079256,0.629242430478,0.601978549946,0.583688386649,0.565472644842,0.548121617568,0.535156904866,0.522749666274,0.510871128961,0.499485644533,0.486252441989,0.475209917571,0.44945689157499996,0.421773210959
2018-03-07,3.0159187482700003,5.23962536734,7.46333198641,9.63138681523,11.9011880732,14.255029905599999,16.6795282841,19.1774125874,22.0171390133,24.9976870647,28.1206631186,31.5649998077,35.4906647774,39.7316959476,44.5720200034,50.054611049799995,56.798859891899994,63.896486053000004,71.9346998323,236.433020623,199.996204412,163.5593882,128.720052022,100.035268447,79.6880696326,63.8689536371,51.765880861899994,42.760404746300004,35.1353880705,28.6224336473,23.1563031961,18.5841857908,14.543382861400001,11.0590621445,8.073366203700001,5.46294238883,3.12543981639,1.0477499078799999,0.9435727825229999,0.882832059861,0.822091337199,0.762829274998,0.712889869629,0.674147209454,0.637732689956,0.608899882003,0.590309449786,0.572571941447,0.555086230175,0.541130522477,0.529754470746,0.518085582872,0.508340705746,0.495415425203,0.484816220605,0.460740394112,0.431163081567
2018-03-08,3.35276413394,5.431543969040001,7.51032380414,9.62998856044,11.8553985479,14.2668396591,16.631597311500002,19.1347515254,21.9557747239,24.9442208619,28.0589324266,31.507594588899998,35.393894506799995,39.6364528735,44.5341879647,50.0153410524,56.76677646090001,63.7928641489,71.728494855,236.80453363,200.122911399,163.441289167,128.611587894,99.983378663,79.5674629614,63.705243636700004,51.717541581800006,42.68884093,35.058761513600004,28.5366395169,23.082136789099998,18.5476566551,14.531008115699999,11.0563285551,8.06735545504,5.46130952793,3.17583950693,1.10357023375,0.938783240348,0.8778467729009999,0.8169103054539999,0.757626161014,0.7085133449169999,0.669265280234,0.633051955742,0.604561938127,0.5861772030610001,0.5684100721859999,0.550889028183,0.5370161115500001,0.525798849227,0.514344942826,0.504935888824,0.49229129634700003,0.48210230236,0.458228025591,0.428559971245
2018-03-12,2.8707641224400002,4.59466520096,6.343599236959999,8.21187187366,10.264698011,12.180192740899999,14.4079968876,16.6992128981,19.061769604000002,21.6200733948,24.5606435038,27.7380012007,31.310173954899998,35.2176499996,39.399454748400004,44.6567162758,49.7965571194,55.2406949625,60.6848328056,235.866898753,188.663886184,143.954861464,107.80642500799999,83.82880015069999,66.1091208723,53.91079739640001,44.311236119200004,36.4162948585,29.903086496500002,24.6544608809,20.1040184329,16.2421042524,12.8333905893,9.67705521524,7.146061335739999,4.78402181246,2.5506421442900002,0.317262476127,0.899267650594,0.824289045722,0.752166729822,0.691114493827,0.644810546528,0.6036263499100001,0.578650935066,0.557064557495,0.537036137824,0.520576986256,0.509721459575,0.498676732951,0.490208242898,0.480973893056,0.470754846866,0.463701343331,0.44362271909699996,0.42051120034999995,0.397399681602
2018-03-13,2.01531325328,4.1819008161,6.28835521456,8.32672192579,10.3011038057,12.272981404600001,14.4631591279,16.825458005799998,19.2006990276,21.745455392800004,24.6104606179,27.7244855088,31.244195188699997,35.1029998734,39.2001622858,44.417779182,49.6183969745,74.1172938814,135.722427883,234.77411961599998,188.924374894,144.988637645,108.826839939,84.7429276394,66.7840656241,54.2966905796,44.6444089908,36.646187866700004,30.0168674125,24.6563009109,20.098740914300002,16.195960423,12.7678811532,9.6260022176,7.10658570352,4.759291886600001,2.8866360057200002,1.5894630847,0.900255646637,0.8267147804420001,0.755389725483,0.694715110328,0.649043254491,0.607019783111,0.580997100971,0.559101686979,0.538635759828,0.520889532411,0.5087462658899999,0.496580257492,0.48681045256800004,0.47693171681,0.465342560775,0.45739216527500004,0.43929212959799996,0.42142022060199996,0.41433626803
